Quantidade / tempo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1 mês,2.1,3.1,4.1,5.1,6.1
1 Datalogger,52.0,50.0,48.0,46.0,44.0,42.0,40.0,38.0,36.0,34.0,,,,,,,,,,,,,,,,,,,,,150.0,,,,,
2 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Datalogger,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Datalogger,,,,,200.0,,,,,180.0,,,,,,,,,,,,,,,,,,,,,125.0,,,,,
11 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Datalogger,,,,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Datalogger,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Datalogger,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,,
31 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,180.0,,,
37 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,
41 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,,,,
46 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 Datalogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
